Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;26.00;26.20;26.00;26.20;"08/04/2024 15:21";CET;33;863.80;26.20;08/04/2024
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;3.83;3.83;3.65;3.705;"08/04/2024 17:35";CET;156334;586012.605;3.705;08/04/2024
"A.S.T. GROUPE";FR0000076887;ALAST;"Euronext Growth Paris";EUR;0.54;0.542;0.532;0.532;"05/04/2024 16:39";CET;1884;1013.86;0.532;08/04/2024
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;2.275;2.295;2.225;2.25;"08/04/2024 17:35";CET;92039;208116.33;2.25;08/04/2024
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;4.08;4.13;4.06;4.075;"08/04/2024 17:35";CET;91647;375208.625;4.075;08/04/2024
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;11.20;11.25;11.10;11.10;"08/04/2024 16:44";CET;915;10205.00;11.10;08/04/2024
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;1.12;1.13;1.084;1.108;"08/04/2024 17:15";CET;31894;35385.554;1.108;08/04/2024
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;13.90;14.28;13.90;14.14;"08/04/2024 17:36";CET;30734;433770.58;14.14;08/04/2024
"ABL Diagnostics";FR001400AHX6;ABLD;"Euronext Paris";EUR;3.18;3.18;3.18;3.18;"25/03/2024 11:30";CET;50;159.00;3.18;08/04/2024
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;5.70;5.75;5.70;5.75;"08/04/2024 16:22";CET;655;3733.70;5.75;08/04/2024
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0.40;0.406;0.391;0.391;"08/04/2024 14:41";CET;10860;4299.382;0.391;08/04/2024
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;41.98;42.33;41.64;41.70;"08/04/2024 17:39";CET;935901;39103746.55;41.70;08/04/2024
ACHETER-LOUER.FR;FR001400JAP8;ALALO;"Euronext Growth Paris";EUR;0.0004;0.0004;0.0002;0.0004;"08/04/2024 17:35";CET;4231686;1563.8172;0.0004;08/04/2024
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;1.34;1.34;1.31;1.335;"08/04/2024 17:35";CET;1449;1908.72;1.335;08/04/2024
"ACTIA GROUP";FR0000076655;ALATI;"Euronext Growth Paris";EUR;4.08;4.33;4.08;4.33;"08/04/2024 17:26";CET;18615;78837.53;4.33;08/04/2024
"ACTICOR BIOTECH";FR0014005OJ5;ALACT;"Euronext Growth Paris";EUR;3.44;3.60;3.35;3.42;"08/04/2024 17:35";CET;13461;46391.06;3.42;08/04/2024
"ACTIVIUM GROUP";FR0010979377;MLACT;"Euronext Access Paris";EUR;1.51;1.51;1.51;1.51;"21/03/2024 16:30";CET;3;4.53;1.51;08/04/2024
"ADC SIIC";BE0974269012;ALDV;"Euronext Paris";EUR;0.0725;0.0725;0.0725;0.0725;"21/03/2024 16:30";CET;5000;362.51;0.0725;08/04/2024
ADEUNIS;FR0013284627;ALARF;"Euronext Growth Paris";EUR;0.394;0.394;0.394;0.394;"05/04/2024 13:32";CET;894;352.24;0.394;08/04/2024
ADOCIA;FR0011184241;ADOC;"Euronext Paris";EUR;8.85;10.70;8.72;10.12;"08/04/2024 17:38";CET;314402;3108416.15;10.12;08/04/2024
ADOMOS;FR001400JAL7;ALADO;"Euronext Growth Paris";EUR;0.001;0.001;0.0006;0.0008;"08/04/2024 17:35";CET;3502046;2406.335;0.0008;08/04/2024
ADP;FR0010340141;ADP;"Euronext Paris";EUR;124.40;126.10;124.40;124.50;"08/04/2024 17:35";CET;41783;5211853.40;124.50;08/04/2024
ADUX;FR0012821890;ADUX;"Euronext Paris, Amsterdam";EUR;1.48;1.48;1.40;1.45;"08/04/2024 17:35";CET;7402;10519.92;1.45;08/04/2024
ADVICENNE;FR0013296746;ALDVI;"Euronext Growth Paris";EUR;2.00;2.00;1.622;1.696;"08/04/2024 17:35";CET;330347;582275.798;1.696;08/04/2024
ADVINI;FR0000053043;ALAVI;"Euronext Growth Paris";EUR;14.50;14.50;14.40;14.50;"08/04/2024 12:57";CET;74;1071.80;14.50;08/04/2024
"AELIS FARMA";FR0014007ZB4;AELIS;"Euronext Paris";EUR;12.90;12.90;12.90;12.90;"08/04/2024 09:00";CET;5;64.50;12.90;08/04/2024
"AERKOMM INC";US00774B2088;AKOM;"Euronext Paris";EUR;2.42;2.42;2.42;2.42;"18/03/2024 16:20";CET;15;36.30;2.42;08/04/2024
"AFFLUENT MED BSAR";FR001400FL38;AFMBS;"Euronext Paris";EUR;0.01;0.018;0.01;0.018;"08/04/2024 14:16";CET;143;2.47;0.018;08/04/2024
"AFFLUENT MEDICAL";FR0013333077;AFME;"Euronext Paris";EUR;1.86;1.88;1.85;1.88;"08/04/2024 17:35";CET;8550;15945.06;1.88;08/04/2024
AFYREN;FR0014005AC9;ALAFY;"Euronext Growth Paris";EUR;1.95;1.96;1.93;1.955;"08/04/2024 17:35";CET;12662;24644.18;1.955;08/04/2024
AG3I;FR0011908045;MLAGI;"Euronext Access Paris";EUR;0.35;0.35;0.35;0.35;"18/03/2024 16:30";CET;180;63.00;0.35;08/04/2024
"AGENCE AUTO";FR0014005WE9;MLAA;"Euronext Access Paris";EUR;0.28;0.28;0.28;0.28;"22/03/2024 16:45";CET;3777;1057.56;0.28;08/04/2024
"AGP MALAGA SOCIMI";ES0105478004;MLAGP;"Euronext Access Paris";EUR;3.00;3.00;3.00;3.00;"21/11/2023 11:30";CET;13440;40320.00;3.00;08/04/2024
AGRIPOWER;FR0013452281;ALAGP;"Euronext Growth Paris";EUR;0.962;1.00;0.962;0.986;"08/04/2024 17:35";CET;5301;5243.344;0.986;08/04/2024
AGROGENERATION;FR0010641449;ALAGR;"Euronext Growth Paris";EUR;0.0464;0.048;0.0464;0.0464;"08/04/2024 16:24";CET;4100;191.864;0.0464;08/04/2024
"AIR FRANCE -KLM";FR001400J770;AF;"Euronext Paris, Amsterdam";EUR;9.616;10.035;9.602;10.025;"08/04/2024 17:35";CET;1835210;18217080.76;10.025;08/04/2024
"AIR LIQUIDE";FR0000120073;AI;"Euronext Paris";EUR;187.60;189.42;187.36;188.26;"08/04/2024 17:35";CET;381465;71852582.10;188.26;08/04/2024
AIRBUS;NL0000235190;AIR;"Euronext Paris";EUR;168.38;171.22;168.38;170.54;"08/04/2024 17:38";CET;704242;119898116.68;170.54;08/04/2024
AIRWELL;FR0014003V77;ALAIR;"Euronext Growth Paris";EUR;5.00;5.15;5.00;5.15;"08/04/2024 14:40";CET;1532;7775.20;5.15;08/04/2024
AKWEL;FR0000053027;AKW;"Euronext Paris";EUR;15.44;15.44;14.86;14.90;"08/04/2024 17:35";CET;2453;37036.84;14.90;08/04/2024
"ALAN ALLMAN";FR0000062465;AAA;"Euronext Paris";EUR;9.55;9.80;9.50;9.50;"08/04/2024 16:11";CET;489;4662.25;9.50;08/04/2024
ALCHIMIE;FR0014000JX7;ALCHI;"Euronext Growth Paris";EUR;0.44;0.44;0.385;0.417;"08/04/2024 17:35";CET;39138;15661.562;0.417;08/04/2024
ALD;FR0013258662;ALD;"Euronext Paris";EUR;6.345;6.475;6.285;6.415;"08/04/2024 17:35";CET;180997;1159400.835;6.415;08/04/2024
ALGREEN;FR001400IV58;ALGRE;"Euronext Growth Paris";EUR;0.0006;0.0006;0.0004;0.0004;"08/04/2024 15:24";CET;2229550;945.82;0.0004;08/04/2024
"ALPES (COMPAGNIE)";FR0000053324;CDA;"Euronext Paris";EUR;13.52;13.58;13.50;13.52;"08/04/2024 17:35";CET;23335;315733.46;13.52;08/04/2024
"ALPHA MOS";FR0013421286;ALNEO;"Euronext Growth Paris";EUR;0.54;0.85;0.53;0.84;"08/04/2024 17:23";CET;54792;38324.544;0.84;08/04/2024
ALSTOM;FR0010220475;ALO;"Euronext Paris";EUR;13.78;14.035;13.18;13.875;"08/04/2024 17:35";CET;2265503;31088387.93;13.875;08/04/2024
ALTAMIR;FR0000053837;LTA;"Euronext Paris";EUR;24.50;24.50;24.30;24.40;"08/04/2024 17:35";CET;130;3172.30;24.40;08/04/2024
ALTAREA;FR0000033219;ALTA;"Euronext Paris";EUR;75.80;76.00;75.00;76.00;"08/04/2024 17:35";CET;3983;300985.10;76.00;08/04/2024
ALTAREIT;FR0000039216;AREIT;"Euronext Paris";EUR;468.00;468.00;468.00;468.00;"08/04/2024 09:00";CET;1;468.00;468.00;08/04/2024
ALTEN;FR0000071946;ATE;"Euronext Paris";EUR;131.20;132.80;131.20;132.50;"08/04/2024 17:35";CET;19292;2553184.40;132.50;08/04/2024
ALTHEORA;FR0000061244;ALORA;"Euronext Growth Paris";EUR;0.448;0.448;0.445;0.447;"08/04/2024 17:35";CET;2789;1246.889;0.447;08/04/2024
ALVEEN;FR0013253812;MLALV;"Euronext Access Paris";EUR;0.0625;0.0625;0.0625;0.0625;"08/04/2024 11:30";CET;2;0.125;0.0625;08/04/2024
"AMA CORPORATION";GB00BNKGZC51;ALAMA;"Euronext Growth Paris";EUR;0.218;0.218;0.21;0.21;"08/04/2024 14:10";CET;7501;1602.718;0.21;08/04/2024
"AMATHEON AGRI";NL0010273694;MLAAH;"Euronext Access Paris";EUR;0.075;0.075;0.075;0.075;"08/04/2024 16:30";CET;596;44.70;0.075;08/04/2024
AMOEBA;FR0011051598;ALMIB;"Euronext Growth Paris";EUR;0.382;0.399;0.382;0.395;"08/04/2024 17:35";CET;34080;13266.573;0.395;08/04/2024
"AMPLITUDE SURGICAL";FR0012789667;AMPLI;"Euronext Paris";EUR;3.36;3.36;3.34;3.34;"08/04/2024 17:35";CET;2828;9492.10;3.34;08/04/2024
AMUNDI;FR0004125920;AMUN;"Euronext Paris";EUR;65.15;66.20;65.15;65.85;"08/04/2024 17:35";CET;134202;8822678.30;65.85;08/04/2024
"ANDINO GLOBAL";ES0105744009;MLAIG;"Euronext Access Paris";EUR;3.20;3.20;3.20;3.20;"12/02/2024 16:30";CET;2;6.40;3.20;08/04/2024
"ANTIN INFRA PARTN";FR0014005AL0;ANTIN;"Euronext Paris";EUR;13.18;13.28;13.04;13.04;"08/04/2024 17:35";CET;28042;367101.92;13.04;08/04/2024
APERAM;LU0569974404;APAM;"Euronext Amsterdam, Brussels, Paris";EUR;29.32;30.42;29.06;29.82;"08/04/2024 17:35";CET;192366;5737988.16;29.82;08/04/2024
"APODACA INVERSIONE";ES0105658001;MLASO;"Euronext Access Paris";EUR;70.00;70.00;70.00;70.00;"07/11/2022 00:00";CET;-;-;70.00;08/04/2024
